name,type,value,date,fName,lName,birth,country
Navratilova,1,280.0,1986-12-22,Martina,Navratilova,19561018.0,USA
Evert,2,231.0,1986-12-22,Chris,Evert,19541221.0,USA
Graf,3,201.0,1986-12-22,Steffi,Graf,19690614.0,GER
Mandlikova,4,120.0,1986-12-22,Hana,Mandlikova,19620219.0,AUS
Shriver,5,105.0,1986-12-22,Pam,Shriver,19620704.0,USA
Sukova,6,105.0,1986-12-22,Helena,Sukova,19650223.0,CZE
Kohde Kilsch,7,77.0,1986-12-22,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,8,66.0,1986-12-22,Kathy,Rinaldi Stunkel,19670324.0,USA
Sabatini,9,62.0,1986-12-22,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,10,60.0,1986-12-22,Manuela,Maleeva Fragniere,19670214.0,SUI
Navratilova,1,280.0,1986-12-29,Martina,Navratilova,19561018.0,USA
Evert,2,231.0,1986-12-29,Chris,Evert,19541221.0,USA
Graf,3,201.0,1986-12-29,Steffi,Graf,19690614.0,GER
Mandlikova,4,120.0,1986-12-29,Hana,Mandlikova,19620219.0,AUS
Shriver,5,105.0,1986-12-29,Pam,Shriver,19620704.0,USA
Sukova,6,105.0,1986-12-29,Helena,Sukova,19650223.0,CZE
Kohde Kilsch,7,77.0,1986-12-29,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,8,66.0,1986-12-29,Kathy,Rinaldi Stunkel,19670324.0,USA
Sabatini,9,62.0,1986-12-29,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,10,60.0,1986-12-29,Manuela,Maleeva Fragniere,19670214.0,SUI
Navratilova,1,280.0,1987-01-01,Martina,Navratilova,19561018.0,USA
Evert,2,231.0,1987-01-01,Chris,Evert,19541221.0,USA
Graf,3,201.0,1987-01-01,Steffi,Graf,19690614.0,GER
Mandlikova,4,120.0,1987-01-01,Hana,Mandlikova,19620219.0,AUS
Shriver,5,105.0,1987-01-01,Pam,Shriver,19620704.0,USA
Sukova,6,105.0,1987-01-01,Helena,Sukova,19650223.0,CZE
Kohde Kilsch,7,77.0,1987-01-01,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,8,66.0,1987-01-01,Kathy,Rinaldi Stunkel,19670324.0,USA
Sabatini,9,62.0,1987-01-01,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,10,60.0,1987-01-01,Manuela,Maleeva Fragniere,19670214.0,SUI
Navratilova,1,280.0,1987-01-05,Martina,Navratilova,19561018.0,USA
Evert,2,231.0,1987-01-05,Chris,Evert,19541221.0,USA
Graf,3,201.0,1987-01-05,Steffi,Graf,19690614.0,GER
Mandlikova,4,126.0,1987-01-05,Hana,Mandlikova,19620219.0,AUS
Shriver,5,105.0,1987-01-05,Pam,Shriver,19620704.0,USA
Sukova,6,104.0,1987-01-05,Helena,Sukova,19650223.0,CZE
Kohde Kilsch,7,77.0,1987-01-05,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,8,66.0,1987-01-05,Kathy,Rinaldi Stunkel,19670324.0,USA
Sabatini,9,62.0,1987-01-05,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,10,60.0,1987-01-05,Manuela,Maleeva Fragniere,19670214.0,SUI
Navratilova,1,280.0,1987-01-12,Martina,Navratilova,19561018.0,USA
Evert,2,231.0,1987-01-12,Chris,Evert,19541221.0,USA
Graf,3,201.0,1987-01-12,Steffi,Graf,19690614.0,GER
Mandlikova,4,126.0,1987-01-12,Hana,Mandlikova,19620219.0,AUS
Shriver,5,105.0,1987-01-12,Pam,Shriver,19620704.0,USA
Sukova,6,104.0,1987-01-12,Helena,Sukova,19650223.0,CZE
Kohde Kilsch,7,77.0,1987-01-12,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,8,66.0,1987-01-12,Kathy,Rinaldi Stunkel,19670324.0,USA
Sabatini,9,62.0,1987-01-12,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,10,60.0,1987-01-12,Manuela,Maleeva Fragniere,19670214.0,SUI
Navratilova,1,280.0,1987-01-19,Martina,Navratilova,19561018.0,USA
Evert,2,231.0,1987-01-19,Chris,Evert,19541221.0,USA
Graf,3,201.0,1987-01-19,Steffi,Graf,19690614.0,GER
Mandlikova,4,126.0,1987-01-19,Hana,Mandlikova,19620219.0,AUS
Sukova,5,106.0,1987-01-19,Helena,Sukova,19650223.0,CZE
Shriver,6,104.0,1987-01-19,Pam,Shriver,19620704.0,USA
Rinaldi Stunkel,7,67.0,1987-01-19,Kathy,Rinaldi Stunkel,19670324.0,USA
Kohde Kilsch,8,65.0,1987-01-19,Claudia,Kohde Kilsch,19631211.0,GER
Garrison,9,64.0,1987-01-19,Zina,Garrison,19631116.0,USA
Sabatini,10,62.0,1987-01-19,Gabriela,Sabatini,19700516.0,ARG
Navratilova,1,280.0,1987-01-26,Martina,Navratilova,19561018.0,USA
Evert,2,231.0,1987-01-26,Chris,Evert,19541221.0,USA
Graf,3,201.0,1987-01-26,Steffi,Graf,19690614.0,GER
Mandlikova,4,126.0,1987-01-26,Hana,Mandlikova,19620219.0,AUS
Sukova,5,106.0,1987-01-26,Helena,Sukova,19650223.0,CZE
Shriver,6,104.0,1987-01-26,Pam,Shriver,19620704.0,USA
Rinaldi Stunkel,7,67.0,1987-01-26,Kathy,Rinaldi Stunkel,19670324.0,USA
Kohde Kilsch,8,65.0,1987-01-26,Claudia,Kohde Kilsch,19631211.0,GER
Garrison,9,64.0,1987-01-26,Zina,Garrison,19631116.0,USA
Sabatini,10,62.0,1987-01-26,Gabriela,Sabatini,19700516.0,ARG
Navratilova,1,278.0,1987-02-02,Martina,Navratilova,19561018.0,USA
Evert,2,210.0,1987-02-02,Chris,Evert,19541221.0,USA
Graf,3,204.0,1987-02-02,Steffi,Graf,19690614.0,GER
Mandlikova,4,142.0,1987-02-02,Hana,Mandlikova,19620219.0,AUS
Shriver,5,104.0,1987-02-02,Pam,Shriver,19620704.0,USA
Sukova,6,103.0,1987-02-02,Helena,Sukova,19650223.0,CZE
Kohde Kilsch,7,70.0,1987-02-02,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,8,70.0,1987-02-02,Kathy,Rinaldi Stunkel,19670324.0,USA
Garrison,9,68.0,1987-02-02,Zina,Garrison,19631116.0,USA
Sabatini,10,62.0,1987-02-02,Gabriela,Sabatini,19700516.0,ARG
Navratilova,1,278.0,1987-02-09,Martina,Navratilova,19561018.0,USA
Evert,2,210.0,1987-02-09,Chris,Evert,19541221.0,USA
Graf,3,204.0,1987-02-09,Steffi,Graf,19690614.0,GER
Mandlikova,4,142.0,1987-02-09,Hana,Mandlikova,19620219.0,AUS
Shriver,5,104.0,1987-02-09,Pam,Shriver,19620704.0,USA
Sukova,6,103.0,1987-02-09,Helena,Sukova,19650223.0,CZE
Kohde Kilsch,7,70.0,1987-02-09,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,8,70.0,1987-02-09,Kathy,Rinaldi Stunkel,19670324.0,USA
Garrison,9,68.0,1987-02-09,Zina,Garrison,19631116.0,USA
Sabatini,10,62.0,1987-02-09,Gabriela,Sabatini,19700516.0,ARG
Navratilova,1,290.0,1987-03-02,Martina,Navratilova,19561018.0,USA
Graf,2,210.0,1987-03-02,Steffi,Graf,19690614.0,GER
Evert,3,171.0,1987-03-02,Chris,Evert,19541221.0,USA
Mandlikova,4,148.0,1987-03-02,Hana,Mandlikova,19620219.0,AUS
Shriver,5,109.0,1987-03-02,Pam,Shriver,19620704.0,USA
Sukova,6,105.0,1987-03-02,Helena,Sukova,19650223.0,CZE
Garrison,7,76.0,1987-03-02,Zina,Garrison,19631116.0,USA
Kohde Kilsch,8,69.0,1987-03-02,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,9,67.0,1987-03-02,Kathy,Rinaldi Stunkel,19670324.0,USA
Sabatini,10,63.0,1987-03-02,Gabriela,Sabatini,19700516.0,ARG
Navratilova,1,290.0,1987-03-09,Martina,Navratilova,19561018.0,USA
Graf,2,210.0,1987-03-09,Steffi,Graf,19690614.0,GER
Evert,3,171.0,1987-03-09,Chris,Evert,19541221.0,USA
Mandlikova,4,148.0,1987-03-09,Hana,Mandlikova,19620219.0,AUS
Shriver,5,109.0,1987-03-09,Pam,Shriver,19620704.0,USA
Sukova,6,105.0,1987-03-09,Helena,Sukova,19650223.0,CZE
Garrison,7,76.0,1987-03-09,Zina,Garrison,19631116.0,USA
Kohde Kilsch,8,69.0,1987-03-09,Claudia,Kohde Kilsch,19631211.0,GER
Rinaldi Stunkel,9,67.0,1987-03-09,Kathy,Rinaldi Stunkel,19670324.0,USA
Sabatini,10,63.0,1987-03-09,Gabriela,Sabatini,19700516.0,ARG
Navratilova,1,277.0,1987-03-30,Martina,Navratilova,19561018.0,USA
Graf,2,222.0,1987-03-30,Steffi,Graf,19690614.0,GER
Evert,3,177.0,1987-03-30,Chris,Evert,19541221.0,USA
Mandlikova,4,156.0,1987-03-30,Hana,Mandlikova,19620219.0,AUS
Shriver,5,106.0,1987-03-30,Pam,Shriver,19620704.0,USA
Sukova,6,103.0,1987-03-30,Helena,Sukova,19650223.0,CZE
Garrison,7,77.0,1987-03-30,Zina,Garrison,19631116.0,USA
Kohde Kilsch,8,70.0,1987-03-30,Claudia,Kohde Kilsch,19631211.0,GER
Sabatini,9,63.0,1987-03-30,Gabriela,Sabatini,19700516.0,ARG
Rinaldi Stunkel,10,58.0,1987-03-30,Kathy,Rinaldi Stunkel,19670324.0,USA
Navratilova,1,277.0,1987-04-06,Martina,Navratilova,19561018.0,USA
Graf,2,222.0,1987-04-06,Steffi,Graf,19690614.0,GER
Evert,3,177.0,1987-04-06,Chris,Evert,19541221.0,USA
Mandlikova,4,156.0,1987-04-06,Hana,Mandlikova,19620219.0,AUS
Shriver,5,106.0,1987-04-06,Pam,Shriver,19620704.0,USA
Sukova,6,103.0,1987-04-06,Helena,Sukova,19650223.0,CZE
Garrison,7,77.0,1987-04-06,Zina,Garrison,19631116.0,USA
Kohde Kilsch,8,70.0,1987-04-06,Claudia,Kohde Kilsch,19631211.0,GER
Sabatini,9,63.0,1987-04-06,Gabriela,Sabatini,19700516.0,ARG
Rinaldi Stunkel,10,58.0,1987-04-06,Kathy,Rinaldi Stunkel,19670324.0,USA
Navratilova,1,277.0,1987-04-13,Martina,Navratilova,19561018.0,USA
Graf,2,218.0,1987-04-13,Steffi,Graf,19690614.0,GER
Mandlikova,3,156.0,1987-04-13,Hana,Mandlikova,19620219.0,AUS
Evert,4,152.0,1987-04-13,Chris,Evert,19541221.0,USA
Sukova,5,110.0,1987-04-13,Helena,Sukova,19650223.0,CZE
Shriver,6,106.0,1987-04-13,Pam,Shriver,19620704.0,USA
Garrison,7,79.0,1987-04-13,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,8,69.0,1987-04-13,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,9,68.0,1987-04-13,Claudia,Kohde Kilsch,19631211.0,GER
Sabatini,10,68.0,1987-04-13,Gabriela,Sabatini,19700516.0,ARG
Navratilova,1,277.0,1987-04-20,Martina,Navratilova,19561018.0,USA
Graf,2,218.0,1987-04-20,Steffi,Graf,19690614.0,GER
Mandlikova,3,156.0,1987-04-20,Hana,Mandlikova,19620219.0,AUS
Evert,4,152.0,1987-04-20,Chris,Evert,19541221.0,USA
Sukova,5,110.0,1987-04-20,Helena,Sukova,19650223.0,CZE
Shriver,6,106.0,1987-04-20,Pam,Shriver,19620704.0,USA
Garrison,7,79.0,1987-04-20,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,8,69.0,1987-04-20,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,9,68.0,1987-04-20,Claudia,Kohde Kilsch,19631211.0,GER
Sabatini,10,68.0,1987-04-20,Gabriela,Sabatini,19700516.0,ARG
Navratilova,1,269.0,1987-04-27,Martina,Navratilova,19561018.0,USA
Graf,2,219.0,1987-04-27,Steffi,Graf,19690614.0,GER
Evert,3,175.0,1987-04-27,Chris,Evert,19541221.0,USA
Mandlikova,4,153.0,1987-04-27,Hana,Mandlikova,19620219.0,AUS
Sukova,5,113.0,1987-04-27,Helena,Sukova,19650223.0,CZE
Shriver,6,106.0,1987-04-27,Pam,Shriver,19620704.0,USA
Garrison,7,83.0,1987-04-27,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,8,69.0,1987-04-27,Manuela,Maleeva Fragniere,19670214.0,SUI
Sabatini,9,66.0,1987-04-27,Gabriela,Sabatini,19700516.0,ARG
Kohde Kilsch,10,60.0,1987-04-27,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,269.0,1987-05-04,Martina,Navratilova,19561018.0,USA
Graf,2,219.0,1987-05-04,Steffi,Graf,19690614.0,GER
Evert,3,175.0,1987-05-04,Chris,Evert,19541221.0,USA
Mandlikova,4,153.0,1987-05-04,Hana,Mandlikova,19620219.0,AUS
Sukova,5,113.0,1987-05-04,Helena,Sukova,19650223.0,CZE
Shriver,6,106.0,1987-05-04,Pam,Shriver,19620704.0,USA
Garrison,7,83.0,1987-05-04,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,8,69.0,1987-05-04,Manuela,Maleeva Fragniere,19670214.0,SUI
Sabatini,9,66.0,1987-05-04,Gabriela,Sabatini,19700516.0,ARG
Kohde Kilsch,10,60.0,1987-05-04,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,258.0,1987-05-11,Martina,Navratilova,19561018.0,USA
Graf,2,222.0,1987-05-11,Steffi,Graf,19690614.0,GER
Evert,3,172.0,1987-05-11,Chris,Evert,19541221.0,USA
Mandlikova,4,153.0,1987-05-11,Hana,Mandlikova,19620219.0,AUS
Sukova,5,112.0,1987-05-11,Helena,Sukova,19650223.0,CZE
Shriver,6,106.0,1987-05-11,Pam,Shriver,19620704.0,USA
Garrison,7,84.0,1987-05-11,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,8,68.0,1987-05-11,Manuela,Maleeva Fragniere,19670214.0,SUI
Sabatini,9,67.0,1987-05-11,Gabriela,Sabatini,19700516.0,ARG
Kohde Kilsch,10,59.0,1987-05-11,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,258.0,1987-05-18,Martina,Navratilova,19561018.0,USA
Graf,2,222.0,1987-05-18,Steffi,Graf,19690614.0,GER
Evert,3,172.0,1987-05-18,Chris,Evert,19541221.0,USA
Mandlikova,4,153.0,1987-05-18,Hana,Mandlikova,19620219.0,AUS
Sukova,5,112.0,1987-05-18,Helena,Sukova,19650223.0,CZE
Shriver,6,106.0,1987-05-18,Pam,Shriver,19620704.0,USA
Garrison,7,84.0,1987-05-18,Zina,Garrison,19631116.0,USA
Maleeva Fragniere,8,68.0,1987-05-18,Manuela,Maleeva Fragniere,19670214.0,SUI
Sabatini,9,67.0,1987-05-18,Gabriela,Sabatini,19700516.0,ARG
Kohde Kilsch,10,59.0,1987-05-18,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,265.0,1987-05-25,Martina,Navratilova,19561018.0,USA
Graf,2,221.0,1987-05-25,Steffi,Graf,19690614.0,GER
Evert,3,186.0,1987-05-25,Chris,Evert,19541221.0,USA
Mandlikova,4,157.0,1987-05-25,Hana,Mandlikova,19620219.0,AUS
Sukova,5,111.0,1987-05-25,Helena,Sukova,19650223.0,CZE
Shriver,6,106.0,1987-05-25,Pam,Shriver,19620704.0,USA
Garrison,7,80.0,1987-05-25,Zina,Garrison,19631116.0,USA
Sabatini,8,70.0,1987-05-25,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,9,68.0,1987-05-25,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,10,62.0,1987-05-25,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,265.0,1987-06-01,Martina,Navratilova,19561018.0,USA
Graf,2,221.0,1987-06-01,Steffi,Graf,19690614.0,GER
Evert,3,186.0,1987-06-01,Chris,Evert,19541221.0,USA
Mandlikova,4,157.0,1987-06-01,Hana,Mandlikova,19620219.0,AUS
Sukova,5,111.0,1987-06-01,Helena,Sukova,19650223.0,CZE
Shriver,6,106.0,1987-06-01,Pam,Shriver,19620704.0,USA
Garrison,7,80.0,1987-06-01,Zina,Garrison,19631116.0,USA
Sabatini,8,70.0,1987-06-01,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,9,68.0,1987-06-01,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,10,62.0,1987-06-01,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,265.0,1987-06-08,Martina,Navratilova,19561018.0,USA
Graf,2,245.0,1987-06-08,Steffi,Graf,19690614.0,GER
Evert,3,165.0,1987-06-08,Chris,Evert,19541221.0,USA
Mandlikova,4,146.0,1987-06-08,Hana,Mandlikova,19620219.0,AUS
Sukova,5,106.0,1987-06-08,Helena,Sukova,19650223.0,CZE
Shriver,6,106.0,1987-06-08,Pam,Shriver,19620704.0,USA
Garrison,7,83.0,1987-06-08,Zina,Garrison,19631116.0,USA
Sabatini,8,75.0,1987-06-08,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,9,71.0,1987-06-08,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,10,65.0,1987-06-08,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,265.0,1987-06-15,Martina,Navratilova,19561018.0,USA
Graf,2,245.0,1987-06-15,Steffi,Graf,19690614.0,GER
Evert,3,165.0,1987-06-15,Chris,Evert,19541221.0,USA
Mandlikova,4,146.0,1987-06-15,Hana,Mandlikova,19620219.0,AUS
Sukova,5,106.0,1987-06-15,Helena,Sukova,19650223.0,CZE
Shriver,6,106.0,1987-06-15,Pam,Shriver,19620704.0,USA
Garrison,7,83.0,1987-06-15,Zina,Garrison,19631116.0,USA
Sabatini,8,75.0,1987-06-15,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,9,71.0,1987-06-15,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,10,65.0,1987-06-15,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,258.0,1987-06-22,Martina,Navratilova,19561018.0,USA
Graf,2,245.0,1987-06-22,Steffi,Graf,19690614.0,GER
Evert,3,173.0,1987-06-22,Chris,Evert,19541221.0,USA
Mandlikova,4,154.0,1987-06-22,Hana,Mandlikova,19620219.0,AUS
Sukova,5,112.0,1987-06-22,Helena,Sukova,19650223.0,CZE
Shriver,6,109.0,1987-06-22,Pam,Shriver,19620704.0,USA
Garrison,7,84.0,1987-06-22,Zina,Garrison,19631116.0,USA
Sabatini,8,75.0,1987-06-22,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,9,70.0,1987-06-22,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,10,62.0,1987-06-22,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,258.0,1987-06-29,Martina,Navratilova,19561018.0,USA
Graf,2,245.0,1987-06-29,Steffi,Graf,19690614.0,GER
Evert,3,173.0,1987-06-29,Chris,Evert,19541221.0,USA
Mandlikova,4,154.0,1987-06-29,Hana,Mandlikova,19620219.0,AUS
Sukova,5,112.0,1987-06-29,Helena,Sukova,19650223.0,CZE
Shriver,6,109.0,1987-06-29,Pam,Shriver,19620704.0,USA
Garrison,7,84.0,1987-06-29,Zina,Garrison,19631116.0,USA
Sabatini,8,75.0,1987-06-29,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,9,70.0,1987-06-29,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,10,62.0,1987-06-29,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,261.0,1987-07-06,Martina,Navratilova,19561018.0,USA
Graf,2,247.0,1987-07-06,Steffi,Graf,19690614.0,GER
Evert,3,171.0,1987-07-06,Chris,Evert,19541221.0,USA
Mandlikova,4,145.0,1987-07-06,Hana,Mandlikova,19620219.0,AUS
Shriver,5,118.0,1987-07-06,Pam,Shriver,19620704.0,USA
Sukova,6,112.0,1987-07-06,Helena,Sukova,19650223.0,CZE
Garrison,7,88.0,1987-07-06,Zina,Garrison,19631116.0,USA
Sabatini,8,72.0,1987-07-06,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,9,68.0,1987-07-06,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,10,67.0,1987-07-06,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,261.0,1987-07-13,Martina,Navratilova,19561018.0,USA
Graf,2,247.0,1987-07-13,Steffi,Graf,19690614.0,GER
Evert,3,171.0,1987-07-13,Chris,Evert,19541221.0,USA
Mandlikova,4,145.0,1987-07-13,Hana,Mandlikova,19620219.0,AUS
Shriver,5,118.0,1987-07-13,Pam,Shriver,19620704.0,USA
Sukova,6,112.0,1987-07-13,Helena,Sukova,19650223.0,CZE
Garrison,7,88.0,1987-07-13,Zina,Garrison,19631116.0,USA
Sabatini,8,72.0,1987-07-13,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,9,68.0,1987-07-13,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,10,67.0,1987-07-13,Claudia,Kohde Kilsch,19631211.0,GER
Navratilova,1,261.0,1987-07-20,Martina,Navratilova,19561018.0,USA
Graf,2,247.0,1987-07-20,Steffi,Graf,19690614.0,GER
Evert,3,171.0,1987-07-20,Chris,Evert,19541221.0,USA
Mandlikova,4,145.0,1987-07-20,Hana,Mandlikova,19620219.0,AUS
Shriver,5,118.0,1987-07-20,Pam,Shriver,19620704.0,USA
Sukova,6,112.0,1987-07-20,Helena,Sukova,19650223.0,CZE
Garrison,7,88.0,1987-07-20,Zina,Garrison,19631116.0,USA
Sabatini,8,72.0,1987-07-20,Gabriela,Sabatini,19700516.0,ARG
Kohde Kilsch,9,67.0,1987-07-20,Claudia,Kohde Kilsch,19631211.0,GER
Maleeva Fragniere,10,65.0,1987-07-20,Manuela,Maleeva Fragniere,19670214.0,SUI
Navratilova,1,261.0,1987-07-27,Martina,Navratilova,19561018.0,USA
Graf,2,247.0,1987-07-27,Steffi,Graf,19690614.0,GER
Evert,3,171.0,1987-07-27,Chris,Evert,19541221.0,USA
Mandlikova,4,145.0,1987-07-27,Hana,Mandlikova,19620219.0,AUS
Shriver,5,118.0,1987-07-27,Pam,Shriver,19620704.0,USA
Sukova,6,112.0,1987-07-27,Helena,Sukova,19650223.0,CZE
Garrison,7,88.0,1987-07-27,Zina,Garrison,19631116.0,USA
Sabatini,8,72.0,1987-07-27,Gabriela,Sabatini,19700516.0,ARG
Kohde Kilsch,9,67.0,1987-07-27,Claudia,Kohde Kilsch,19631211.0,GER
Maleeva Fragniere,10,65.0,1987-07-27,Manuela,Maleeva Fragniere,19670214.0,SUI
Navratilova,1,261.0,1987-08-03,Martina,Navratilova,19561018.0,USA
Graf,2,247.0,1987-08-03,Steffi,Graf,19690614.0,GER
Evert,3,171.0,1987-08-03,Chris,Evert,19541221.0,USA
Mandlikova,4,145.0,1987-08-03,Hana,Mandlikova,19620219.0,AUS
Shriver,5,118.0,1987-08-03,Pam,Shriver,19620704.0,USA
Sukova,6,112.0,1987-08-03,Helena,Sukova,19650223.0,CZE
Garrison,7,88.0,1987-08-03,Zina,Garrison,19631116.0,USA
Sabatini,8,72.0,1987-08-03,Gabriela,Sabatini,19700516.0,ARG
Kohde Kilsch,9,67.0,1987-08-03,Claudia,Kohde Kilsch,19631211.0,GER
Maleeva Fragniere,10,65.0,1987-08-03,Manuela,Maleeva Fragniere,19670214.0,SUI
Navratilova,1,261.0,1987-08-10,Martina,Navratilova,19561018.0,USA
Graf,2,247.0,1987-08-10,Steffi,Graf,19690614.0,GER
Evert,3,171.0,1987-08-10,Chris,Evert,19541221.0,USA
Mandlikova,4,145.0,1987-08-10,Hana,Mandlikova,19620219.0,AUS
Shriver,5,118.0,1987-08-10,Pam,Shriver,19620704.0,USA
Sukova,6,112.0,1987-08-10,Helena,Sukova,19650223.0,CZE
Garrison,7,88.0,1987-08-10,Zina,Garrison,19631116.0,USA
Sabatini,8,72.0,1987-08-10,Gabriela,Sabatini,19700516.0,ARG
Kohde Kilsch,9,67.0,1987-08-10,Claudia,Kohde Kilsch,19631211.0,GER
Maleeva Fragniere,10,65.0,1987-08-10,Manuela,Maleeva Fragniere,19670214.0,SUI
Graf,1,248.0,1987-08-17,Steffi,Graf,19690614.0,GER
Navratilova,2,248.0,1987-08-17,Martina,Navratilova,19561018.0,USA
Evert,3,173.0,1987-08-17,Chris,Evert,19541221.0,USA
Mandlikova,4,139.0,1987-08-17,Hana,Mandlikova,19620219.0,AUS
Shriver,5,117.0,1987-08-17,Pam,Shriver,19620704.0,USA
Sukova,6,101.0,1987-08-17,Helena,Sukova,19650223.0,CZE
Garrison,7,85.0,1987-08-17,Zina,Garrison,19631116.0,USA
Sabatini,8,78.0,1987-08-17,Gabriela,Sabatini,19700516.0,ARG
Kohde Kilsch,9,67.0,1987-08-17,Claudia,Kohde Kilsch,19631211.0,GER
Maleeva Fragniere,10,65.0,1987-08-17,Manuela,Maleeva Fragniere,19670214.0,SUI
Graf,1,248.0,1987-08-24,Steffi,Graf,19690614.0,GER
Navratilova,2,248.0,1987-08-24,Martina,Navratilova,19561018.0,USA
Evert,3,173.0,1987-08-24,Chris,Evert,19541221.0,USA
Mandlikova,4,139.0,1987-08-24,Hana,Mandlikova,19620219.0,AUS
Shriver,5,117.0,1987-08-24,Pam,Shriver,19620704.0,USA
Sukova,6,101.0,1987-08-24,Helena,Sukova,19650223.0,CZE
Garrison,7,85.0,1987-08-24,Zina,Garrison,19631116.0,USA
Sabatini,8,78.0,1987-08-24,Gabriela,Sabatini,19700516.0,ARG
Kohde Kilsch,9,67.0,1987-08-24,Claudia,Kohde Kilsch,19631211.0,GER
Maleeva Fragniere,10,65.0,1987-08-24,Manuela,Maleeva Fragniere,19670214.0,SUI
Graf,1,253.0,1987-08-31,Steffi,Graf,19690614.0,GER
Navratilova,2,248.0,1987-08-31,Martina,Navratilova,19561018.0,USA
Evert,3,167.0,1987-08-31,Chris,Evert,19541221.0,USA
Mandlikova,4,133.0,1987-08-31,Hana,Mandlikova,19620219.0,AUS
Shriver,5,126.0,1987-08-31,Pam,Shriver,19620704.0,USA
Sukova,6,97.0,1987-08-31,Helena,Sukova,19650223.0,CZE
Garrison,7,84.0,1987-08-31,Zina,Garrison,19631116.0,USA
Sabatini,8,77.0,1987-08-31,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,9,73.0,1987-08-31,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,10,65.0,1987-08-31,Claudia,Kohde Kilsch,19631211.0,GER
Graf,1,253.0,1987-09-07,Steffi,Graf,19690614.0,GER
Navratilova,2,248.0,1987-09-07,Martina,Navratilova,19561018.0,USA
Evert,3,167.0,1987-09-07,Chris,Evert,19541221.0,USA
Mandlikova,4,133.0,1987-09-07,Hana,Mandlikova,19620219.0,AUS
Shriver,5,126.0,1987-09-07,Pam,Shriver,19620704.0,USA
Sukova,6,97.0,1987-09-07,Helena,Sukova,19650223.0,CZE
Garrison,7,84.0,1987-09-07,Zina,Garrison,19631116.0,USA
Sabatini,8,77.0,1987-09-07,Gabriela,Sabatini,19700516.0,ARG
Maleeva Fragniere,9,73.0,1987-09-07,Manuela,Maleeva Fragniere,19670214.0,SUI
Kohde Kilsch,10,65.0,1987-09-07,Claudia,Kohde Kilsch,19631211.0,GER
Graf,1,265.0,1987-09-14,Steffi,Graf,19690614.0,GER
Navratilova,2,248.0,1987-09-14,Martina,Navratilova,19561018.0,USA
